# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: gm_construct
# Exported by: Sir Francis Billard
setting:	replacespawns 1
ttt_random_ammo	808.918762 -1083.828003 -143.621002	-0.275 -0.003 0.208
ttt_random_ammo	808.236572 -1065.451538 -143.617523	-0.270 -0.003 0.198
ttt_random_ammo	797.561401 -1069.060913 -143.609222	-0.264 -0.003 0.166
ttt_random_ammo	782.856812 -1065.540649 -143.536942	0.660 -0.077 1.046
ttt_random_ammo	778.686340 -1060.414429 -143.514755	0.944 0.092 1.166
ttt_random_ammo	769.580872 -1067.713257 -143.637955	-0.307 -0.003 0.248
ttt_random_ammo	753.548462 -1066.010620 -143.596924	-0.292 -0.003 0.077
ttt_random_ammo	742.676208 -1068.806152 -143.614136	-0.266 -0.003 0.186
ttt_random_ammo	728.298157 -1066.548584 -143.639984	-0.311 -0.003 0.252
ttt_random_ammo	726.656494 -1054.386963 -143.527725	-1.026 0.020 -1.098
ttt_random_ammo	741.301453 -1056.853882 -143.628265	-0.287 -0.003 0.226
ttt_random_ammo	755.942688 -1057.385376 -143.589539	-0.366 -0.003 -0.044
ttt_random_ammo	772.819336 -1055.997925 -143.617523	-0.270 -0.003 0.198
ttt_random_ammo	794.006348 -1052.305420 -143.626404	-0.284 -0.003 0.222
ttt_random_ammo	811.272217 -1055.321045 -143.612473	-0.265 -0.003 0.180
ttt_random_ammo	808.691956 -1036.756592 -143.622772	-0.277 -0.003 0.213
ttt_random_ammo	792.356873 -1040.035156 -143.642044	-0.315 -0.003 0.256
ttt_random_ammo	776.743652 -1039.137695 -143.532257	-1.250 0.024 -1.340
ttt_random_ammo	758.302917 -1038.589844 -143.542282	-1.747 0.030 -1.875
ttt_random_ammo	737.862183 -1037.049438 -143.606049	-0.266 -0.003 0.150
ttt_random_ammo	723.798218 -1037.901001 -143.593964	-0.315 -0.003 0.036
ttt_random_ammo	710.137817 -1044.304199 -143.648407	-0.329 -0.003 0.269
ttt_random_ammo	711.341675 -1066.637085 -143.595444	-0.301 -0.003 0.059
ttt_random_ammo	709.869995 -1090.270630 -143.646255	-0.324 -0.003 0.265
ttt_random_ammo	317.867981 -1972.707275 -143.621002	-0.275 -0.003 0.208
ttt_random_ammo	300.924805 -1976.509521 -143.588074	-0.386 -0.003 -0.074
ttt_random_ammo	-983.713684 -1890.298584 -143.555222	1.078 -0.149 -1.372
ttt_random_ammo	-999.258179 -1892.298828 -143.593979	-0.313 -0.003 0.039
ttt_random_ammo	-980.831604 -1074.038574 -143.593079	0.413 0.003 -0.113
ttt_random_ammo	-998.309875 -1075.134155 -143.628983	0.280 0.003 0.218
ttt_random_ammo	-2935.248535 -1338.483154 -95.592445	0.490 8.538 -1.058
ttt_random_ammo	-2940.115967 -1345.797974 -95.610985	-0.265 0.003 -0.173
ttt_random_ammo	-2948.590576 -1347.616333 -95.538086	0.567 3.630 1.023
ttt_random_ammo	-2944.670166 -1340.586426 -95.513412	0.091 1.860 0.094
ttt_random_ammo	-2940.866699 -1334.187500 -95.597374	-0.977 1.304 -0.778
ttt_random_ammo	-2950.682373 -1337.442749 -95.513390	0.080 2.873 0.116
ttt_random_ammo	-2954.534668 -1345.419312 -95.556885	0.040 -1.582 0.105
ttt_random_ammo	-2960.189941 -1342.759277 -95.589943	0.056 -2.661 0.577
ttt_random_ammo	-2956.601074 -1333.958984 -95.525879	0.455 -4.516 1.005
ttt_random_ammo	-2947.080566 -1326.507324 -95.516998	0.265 1.327 0.067
ttt_random_ammo	-2952.992920 -1327.640747 -95.525146	0.365 1.512 0.000
ttt_random_ammo	-2960.489746 -1328.825684 -95.581444	-0.032 -2.727 0.951
ttt_random_ammo	-2950.564941 -1321.694946 -95.530586	-0.707 3.726 0.057
ttt_random_ammo	-2959.014648 -1321.653076 -95.630150	-0.291 -0.003 0.231
ttt_random_ammo	-3079.179443 -1119.703003 -95.637962	-0.307 -0.003 0.248
ttt_random_ammo	-3088.965088 -1138.352051 -95.573448	-0.881 0.000 -0.723
ttt_random_ammo	-3086.459961 -1145.979126 -95.595436	-0.303 -0.003 0.057
ttt_random_ammo	-3082.257568 -1132.753906 -95.604500	-0.268 -0.003 0.140
ttt_random_ammo	-3075.257080 -1132.096558 -95.520988	1.918 -0.071 -2.326
ttt_random_ammo	-3070.698975 -1144.528198 -95.523804	-0.533 -0.375 -0.854
ttt_random_ammo	-3072.970947 -1149.458618 -95.519455	0.994 -0.110 1.389
ttt_random_ammo	-3081.096924 -1158.067505 -95.572708	-0.897 -0.000 0.744
ttt_random_ammo	-3077.977783 -1163.963501 -95.621002	-0.275 -0.003 0.208
ttt_random_ammo	-3070.020508 -1158.459717 -95.610985	-0.265 0.003 -0.173
ttt_random_ammo	-3065.789551 -1150.498535 -95.621002	-0.275 -0.003 0.208
ttt_random_ammo	-3063.798584 -1140.875854 -95.560867	-0.284 -0.007 1.158
ttt_random_ammo	-3056.694824 -1136.316528 -95.524666	1.326 0.027 1.356
ttt_random_ammo	266.254364 -158.883545 -147.625671	-0.106 -0.000 0.067
ttt_random_ammo	266.276062 -180.209732 -147.598251	-0.603 -0.005 0.681
ttt_random_ammo	263.555603 -140.345200 -147.573593	-1.285 -0.027 1.507
ttt_random_ammo	260.871368 -115.677902 -147.652542	-0.048 0.000 0.017
ttt_random_ammo	257.161133 -106.701279 -147.601028	-0.514 0.004 -0.572
ttt_random_ammo	252.758209 -84.968796 -147.669006	-0.045 0.000 0.029
ttt_random_ammo	248.604004 -62.975025 -147.625610	0.003 -0.126 -0.223
ttt_random_ammo	244.109131 -40.319225 -147.594284	0.012 -0.126 -0.153
ttt_random_ammo	240.123383 -18.420341 -147.675735	0.019 -0.000 -0.119
ttt_random_ammo	235.700851 2.706761 -147.591293	-1.333 0.023 -1.766
ttt_random_ammo	231.210526 26.673273 -147.611038	-1.421 0.020 -1.841
ttt_random_ammo	226.365707 51.612118 -147.660812	0.011 -0.000 -0.128
ttt_random_ammo	221.921204 64.469994 -147.661591	0.033 0.111 -0.158
ttt_random_ammo	216.518692 87.705635 -147.679245	-0.045 -0.000 -0.033
ttt_random_ammo	298.694916 92.021736 -147.709564	-0.003 0.126 0.274
ttt_random_ammo	304.503052 58.198689 -147.729675	0.002 -0.000 -0.138
ttt_random_ammo	310.365143 20.038820 -147.742157	0.027 -0.000 -0.111
ttt_random_ammo	316.164429 -12.451087 -147.722198	-0.003 -0.126 -0.278
ttt_random_ammo	322.471069 -47.894928 -147.665222	0.004 -0.126 -0.217
ttt_random_ammo	330.342804 -92.201096 -147.663452	-0.000 -0.126 -0.253
ttt_random_ammo	337.347351 -133.625580 -147.658722	0.178 -0.265 -0.141
ttt_random_ammo	344.118805 -172.014511 -147.638290	-0.116 -0.001 0.043
ttt_random_ammo	196.710297 -173.590744 -147.651077	0.049 0.000 -0.014
ttt_random_ammo	193.537659 -137.630753 -147.608215	1.472 -0.028 -1.726
ttt_random_ammo	190.293488 -101.769638 -147.629135	0.094 -0.000 -0.052
ttt_random_ammo	186.784637 -62.934326 -147.674759	0.045 0.000 -0.031
ttt_random_ammo	183.016464 -21.102768 -147.606598	-0.343 -0.002 0.363
ttt_random_ammo	179.776703 14.748891 -147.650284	-0.049 -0.000 -0.014
ttt_random_ammo	175.830566 50.656094 -147.655853	-0.197 0.000 -0.119
ttt_random_ammo	172.237000 88.901939 -147.567383	0.146 0.140 -0.174
ttt_random_ammo	185.697388 101.303345 -147.556259	-1.448 0.034 -1.743
ttt_random_ammo	214.995071 104.628349 -147.664108	-0.045 -0.000 -0.026
ttt_random_ammo	250.782684 108.498848 -147.624451	0.074 0.000 0.093
ttt_random_ammo	288.247284 112.282516 -147.648605	0.006 0.126 0.204
ttt_random_ammo	331.067566 -192.604660 -147.640503	0.060 0.000 0.005
ttt_random_ammo	301.862030 -191.952179 -147.623825	0.128 0.000 0.095
ttt_random_ammo	268.672455 -193.215134 -147.652084	0.080 -0.065 -0.224
ttt_random_ammo	229.745880 -198.563110 -147.618042	-0.162 -0.001 0.139
ttt_random_ammo	190.759628 -201.111740 -147.572266	0.057 0.097 0.010
ttt_random_ammo	1048.907227 839.301147 -143.646255	-0.324 -0.003 0.265
ttt_random_ammo	1048.063965 827.853577 -143.526672	-1.048 0.021 -1.127
ttt_random_ammo	1047.461548 816.140686 -143.644135	-0.320 -0.003 0.261
ttt_random_ammo	1047.289551 808.484192 -143.537186	-1.679 -0.028 1.809
ttt_random_ammo	1043.264771 794.581970 -143.592484	-0.329 -0.003 0.013
ttt_random_ammo	1043.430176 786.162964 -143.598419	-0.285 -0.003 0.093
ttt_random_ammo	1111.523071 785.261414 -143.525970	-1.100 -0.022 1.185
ttt_random_ammo	1107.325928 798.502441 -143.638168	-0.307 0.003 -0.248
ttt_random_ammo	1106.781250 810.088440 -143.660004	0.047 0.000 -0.023
ttt_random_ammo	1109.111450 825.352173 -143.538559	-1.495 0.027 -1.599
ttt_random_ammo	1107.925903 835.774292 -143.632050	-0.294 -0.003 0.235
ttt_random_ammo	1087.971313 835.785095 -143.646255	-0.324 -0.003 0.265
ttt_random_ammo	1073.109253 835.104553 -143.628448	-0.287 0.003 -0.226
ttt_random_ammo	1093.449707 785.875061 -143.592514	-0.326 -0.003 0.017
ttt_random_ammo	1076.737549 785.162720 -143.621002	-0.275 -0.003 0.208
ttt_random_ammo	1067.560913 784.280029 -143.621002	-0.275 -0.003 0.208
ttt_random_ammo	1039.908813 373.316742 -143.580124	-0.577 0.002 0.334
ttt_random_ammo	1044.143921 361.305573 -143.626404	-0.284 -0.003 0.222
ttt_random_ammo	1043.917358 351.597351 -143.574646	-0.804 0.001 0.625
ttt_random_ammo	1043.087402 340.245239 -143.622772	-0.277 -0.003 0.213
ttt_random_ammo	1034.021362 334.071167 -143.653046	-0.339 0.003 -0.278
ttt_random_ammo	1034.808838 348.043549 -143.606171	-0.266 0.003 -0.150
ttt_random_ammo	1032.849976 355.094727 -143.602951	-0.270 -0.003 0.131
ttt_random_ammo	1031.226074 366.645050 -143.598419	-0.284 -0.003 0.093
ttt_random_ammo	1029.026611 374.966339 -143.527451	-1.075 -0.021 1.152
ttt_random_ammo	-1071.213623 -1042.441650 240.410629	0.562 0.002 -0.316
ttt_random_ammo	-1071.209229 -1057.772339 240.378220	0.269 0.003 0.198
ttt_random_ammo	-1072.476074 -1072.180908 240.369125	0.283 0.003 0.222
ttt_random_ammo	-1072.406982 -1084.481323 240.378983	-0.275 -0.003 0.208
ttt_random_ammo	-1071.992798 -1098.291016 240.428436	-0.982 0.002 -0.851
ttt_random_ammo	-1069.882202 -1110.439209 240.378815	-0.275 0.003 -0.208
ttt_random_ammo	-1069.555298 -1123.320801 240.377213	-0.277 -0.003 0.213
ttt_random_ammo	-1070.739014 -1136.434204 240.362030	-0.307 -0.003 0.248
ttt_random_ammo	-1069.877075 -1147.446899 240.397034	-0.270 -0.003 0.131
ttt_random_ammo	-1054.564209 -1147.264771 240.361816	-0.307 0.003 -0.248
ttt_random_ammo	-1042.031860 -1146.325439 240.416428	-0.481 -0.003 -0.206
weapon_zm_rifle	790.912598 -1110.898560 -16.806280	3.469 12.595 65.686
item_ammo_357_ttt	801.415283 -1103.562744 -15.599874	1.295 -0.056 -0.996
item_ammo_357_ttt	786.048706 -1105.133057 -15.580032	1.064 -0.031 -0.714
item_ammo_357_ttt	773.939941 -1104.319824 -15.576371	1.021 -0.029 -0.662
weapon_zm_molotov	1094.442871 260.923157 -143.850662	-1.720 -1.377 -1.752
weapon_zm_molotov	1098.032715 286.932526 -143.809280	-0.838 -1.557 -0.851
weapon_zm_molotov	1097.922607 316.753479 -143.866592	-2.061 -1.270 -2.099
weapon_zm_molotov	1064.447144 313.338379 -143.859604	-1.911 -1.293 -1.947
weapon_zm_molotov	1065.348999 287.071381 -143.855652	-1.827 -1.288 -1.861
weapon_zm_molotov	1060.388184 261.622620 -143.811691	-0.889 -1.554 -0.904
weapon_zm_molotov	1031.693359 263.567200 -143.855652	-1.827 -1.288 -1.861
weapon_zm_molotov	1036.172363 284.863098 -143.853119	-1.773 -1.379 -1.806
weapon_zm_molotov	1031.602173 309.043243 -143.843719	-1.572 -1.414 -1.600
weapon_zm_molotov	1104.873779 887.846436 -143.819168	-1.048 -1.541 -1.066
weapon_zm_molotov	1101.789551 865.154541 -143.831573	-1.317 -1.505 -1.333
weapon_zm_molotov	1097.709961 844.756897 -143.860962	-1.947 -1.274 -1.973
weapon_zm_molotov	1068.415527 845.793640 -143.850662	-1.720 -1.377 -1.752
weapon_zm_molotov	1073.596802 863.030334 -143.832504	-1.333 -1.499 -1.356
weapon_zm_molotov	1072.002563 886.669556 -143.804321	-0.733 -1.562 -0.743
weapon_zm_molotov	1048.538818 884.261780 -143.868057	-2.093 -1.230 -2.130
weapon_zm_molotov	1045.250244 868.260193 -143.865173	-2.034 -1.256 -2.066
weapon_zm_molotov	1045.424438 853.008972 -143.859604	-1.917 -1.293 -1.944
weapon_ttt_confgrenade	1037.714966 -870.314819 66.210503	-37.500 -48.442 -92.772
weapon_ttt_confgrenade	1060.691895 -870.987183 66.127953	-36.239 -49.740 -90.762
weapon_ttt_confgrenade	1088.571655 -871.347473 66.195732	-37.275 -48.690 -92.404
weapon_ttt_confgrenade	1094.728760 -841.210510 66.107864	-35.932 -50.023 -90.290
weapon_ttt_confgrenade	1069.090454 -839.892822 66.168770	-36.863 -49.124 -91.741
weapon_ttt_confgrenade	1040.768799 -839.131226 66.217583	-37.608 -48.326 -92.950
weapon_ttt_confgrenade	1036.729858 -808.888367 66.176659	-36.983 -49.000 -91.934
weapon_ttt_confgrenade	1070.980347 -805.892944 66.127953	-36.239 -49.740 -90.762
weapon_ttt_confgrenade	1095.953491 -801.531433 66.159752	-36.725 -49.264 -91.523
weapon_zm_sledge	2127.574463 -998.695313 -146.191544	18.634 -0.121 2.992
weapon_zm_sledge	2128.791748 -954.425720 -146.191544	18.634 -0.127 2.992
weapon_zm_sledge	2132.068359 -901.767578 -146.191544	18.634 -0.125 2.992
weapon_zm_sledge	-3065.191895 -1326.623291 -98.244164	18.510 -0.970 3.180
weapon_zm_sledge	-3065.994141 -1359.400879 -98.207047	18.623 9.161 2.613
weapon_zm_sledge	-3064.806152 -1384.661499 -98.191551	18.634 -0.121 2.992
weapon_zm_sledge	-3067.292969 -1341.364502 -98.202751	18.858 -8.816 2.662
weapon_zm_sledge	-3062.690186 -1371.037231 -98.191551	18.634 -0.125 2.992
