# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_yucatan
# Exported by: BocciardoLight
setting:	replacespawns 0
ttt_random_weapon	2275.344238 1368.727539 -382.797028	1.842 4.927 -92.674
ttt_random_weapon	2646.465820 1363.435791 -382.798431	1.857 4.928 -92.638
ttt_random_weapon	2723.060303 -412.278961 -277.053741	1.373 7.364 -94.067
ttt_random_weapon	2768.146484 -368.445801 -274.916992	-11.934 3.200 -100.036
ttt_random_weapon	2862.782471 34.081478 -234.718155	-26.738 18.487 -7.987
ttt_random_weapon	2837.372803 -22.714846 -250.603317	-32.955 22.186 74.931
ttt_random_weapon	1625.423096 348.679535 -220.689240	5.735 3.123 -91.209
ttt_random_weapon	1726.230713 339.912201 -224.149780	0.076 -5.028 88.115
ttt_random_weapon	917.643860 258.258148 -219.276779	-2.527 -8.922 90.940
ttt_random_weapon	1120.365601 81.959343 -225.220871	2.231 3.372 -93.040
ttt_random_weapon	162.861160 233.276871 -223.580841	4.658 0.421 -90.555
ttt_random_weapon	168.849167 136.976624 -221.730042	2.054 7.126 -93.528
ttt_random_weapon	170.925980 100.570572 -220.587708	2.495 14.156 86.753
ttt_random_weapon	304.912537 613.934326 -190.781448	1.666 4.923 -93.076
ttt_random_weapon	265.233063 677.026672 -190.802856	1.907 4.928 -92.523
ttt_random_ammo	-1042.322021 877.434753 -191.627457	-0.100 -0.000 0.057
ttt_random_ammo	-1044.618774 845.792419 -191.643661	-0.057 -0.000 -0.003
ttt_random_ammo	-1025.711304 848.228821 -191.645798	-0.055 -0.000 -0.007
ttt_random_ammo	-984.183594 878.027283 -191.610260	-0.281 -0.001 0.284
ttt_random_ammo	-957.461731 851.612915 -191.659271	-0.047 -0.000 -0.023
ttt_random_ammo	-977.083435 850.873291 -191.597931	-0.634 -0.005 0.717
ttt_random_ammo	-1120.423462 267.054688 -191.636505	0.072 0.000 0.019
ttt_random_ammo	-1153.431274 240.447739 -191.614655	0.277 0.001 0.280
ttt_random_ammo	-1127.482178 235.087708 -191.620560	0.169 0.001 0.145
ttt_random_ammo	-1128.723511 218.219269 -191.646667	0.055 0.000 -0.007
ttt_random_ammo	-1150.180176 197.622528 -191.608414	0.624 -0.005 -0.705
ttt_random_ammo	-1119.109131 182.048340 -191.619003	0.191 0.001 0.172
ttt_random_ammo	-1842.307251 -584.911133 -207.667175	0.046 0.000 -0.028
ttt_random_ammo	-1848.237671 -547.614990 -207.640457	0.063 0.000 0.006
ttt_random_ammo	-1802.846436 -573.402954 -207.674683	0.046 0.000 -0.032
ttt_random_ammo	-1706.392700 -574.906616 -207.622147	0.149 0.001 0.120
ttt_random_ammo	-1739.933105 -579.984375 -207.617447	0.211 0.001 0.198
ttt_random_ammo	-1723.468994 -544.280396 -207.642471	0.059 0.000 0.001
ttt_random_ammo	-1602.045410 -587.897644 -207.627243	0.110 0.000 0.070
ttt_random_ammo	-1620.189087 -547.075867 -207.605194	1.454 0.025 1.715
ttt_random_ammo	-1583.882202 -555.588013 -207.650955	0.051 0.000 -0.014
ttt_random_ammo	-2020.507080 -104.226334 -207.667175	0.046 0.000 -0.028
ttt_random_ammo	-2021.355591 -55.107586 -207.610168	0.472 -0.003 -0.520
ttt_random_ammo	-1996.734253 -78.059395 -207.672134	0.046 0.000 -0.031
ttt_random_ammo	-2021.552246 -342.511932 -207.650955	0.051 0.000 -0.014
ttt_random_ammo	-2010.331299 -295.966156 -207.625504	0.120 0.000 0.084
ttt_random_ammo	-2032.696777 -304.881897 -207.632675	0.082 0.000 0.034
ttt_random_ammo	-2126.198975 1202.236450 -215.636780	-76.873 -155.672 169.081
ttt_random_ammo	-2144.815918 1173.246826 -222.074203	-83.051 158.105 -156.009
ttt_random_ammo	-2096.373291 1166.514282 -217.514664	10.202 -2.101 2.583
ttt_random_ammo	-2070.521484 1200.721680 -216.591507	-3.777 -2.894 6.963
ttt_random_ammo	-2042.803467 1197.287842 -215.337372	-0.741 -1.235 8.888
ttt_random_ammo	-2049.381348 1164.062744 -218.882523	-0.709 -1.714 5.774
ttt_random_ammo	-1645.617920 989.266785 -220.026321	-0.080 0.066 -7.164
ttt_random_ammo	-1652.073730 954.333252 -221.996323	-3.729 -1.563 5.116
ttt_random_ammo	-1626.689819 960.701294 -221.279266	-0.049 -0.347 5.133
ttt_random_ammo	-2612.451172 -488.484161 -221.055267	-1.913 -0.514 -0.641
ttt_random_ammo	-2648.306885 -506.346344 -222.172165	-2.977 0.426 1.200
ttt_random_ammo	-2619.303223 -531.816345 -221.540161	-2.598 -1.660 6.804
ttt_random_ammo	-2874.477295 -1045.614868 -223.676361	-0.169 -0.005 -2.046
ttt_random_ammo	-2867.811768 -1019.848755 -224.149811	0.663 -0.006 -1.010
ttt_random_ammo	-2903.218018 -1012.887146 -223.636917	-0.202 -0.003 -2.087
ttt_random_ammo	-2942.555908 -1027.426025 -222.650345	1.603 -0.926 -3.060
ttt_random_ammo	-2965.136475 -998.284851 -222.804703	1.685 0.527 -0.627
ttt_random_ammo	-2945.243652 -999.631042 -223.219681	0.126 0.003 -1.667
ttt_random_ammo	-1197.055054 -1647.104736 -223.646652	0.054 0.000 -0.008
ttt_random_ammo	-1210.483765 -1604.467041 -223.655411	0.049 0.000 -0.019
ttt_random_ammo	-1101.392700 -1646.335205 -223.640457	0.063 -0.000 -0.006
ttt_random_ammo	-1118.126953 -1596.154541 -223.648788	0.053 0.000 -0.011
ttt_random_ammo	-1164.586792 -1627.447388 -223.611237	0.413 -0.003 -0.447
ttt_random_ammo	-1071.511597 -1622.845947 -223.646652	0.054 0.000 -0.008
ttt_random_ammo	-982.032410 -1648.521729 -223.582886	1.625 0.036 1.962
ttt_random_ammo	-978.569641 -1603.433960 -223.627243	0.110 0.000 0.070
ttt_random_ammo	-1038.287964 -1600.066772 -223.610779	0.402 0.002 0.433
ttt_random_ammo	-376.385254 -1388.997437 -228.860397	0.171 0.898 8.134
ttt_random_ammo	-359.450714 -1410.276733 -231.712372	0.305 0.373 7.609
ttt_random_ammo	-325.752777 -1407.115845 -228.848755	-6.545 3.359 91.190
ttt_random_ammo	-320.721344 -1365.995361 -225.347061	-0.475 -0.544 7.422
ttt_random_ammo	-290.670410 -1378.482910 -225.509720	2.054 -3.157 98.269
ttt_random_ammo	-285.073547 -1414.215454 -229.230118	-3.925 -3.983 87.880
ttt_random_ammo	179.678574 -2236.211426 7.062894	-76.165 1.043 1.158
ttt_random_ammo	162.641586 -2233.744141 6.388894	0.134 -0.123 -0.006
ttt_random_ammo	174.851791 -2201.097412 4.786394	65.966 1.459 18.357
ttt_random_ammo	180.290939 -2146.701172 7.649484	-82.436 -3.925 4.121
ttt_random_ammo	154.110199 -2176.338867 6.361541	0.067 0.000 0.012
ttt_random_ammo	179.450150 -2173.792480 6.850299	-73.841 -0.914 -1.106
ttt_random_ammo	178.951172 -2093.693359 6.357915	-67.377 -0.385 -3.865
ttt_random_ammo	158.163574 -2126.618164 6.423744	1.569 0.040 1.904
ttt_random_ammo	424.078156 -1584.937622 -214.295654	3.166 0.616 104.799
ttt_random_ammo	454.131317 -1545.538574 -215.420364	78.344 -125.075 -147.310
ttt_random_ammo	420.612244 -1534.190674 -215.028290	2.603 -0.506 -100.693
ttt_random_ammo	369.866302 -1604.824463 -211.190033	13.056 1.124 8.836
ttt_random_ammo	368.223907 -1574.704224 -211.313065	-5.205 1.526 -8.275
ttt_random_ammo	406.317902 -1594.418213 -214.102798	8.473 8.373 100.385
ttt_random_ammo	398.727417 -445.988129 -220.900345	-5.676 0.084 -3.655
ttt_random_ammo	390.153473 -404.167023 -223.313248	-2.317 0.073 -0.937
ttt_random_ammo	364.082397 -430.266266 -222.778732	-0.552 0.519 -4.883
ttt_random_ammo	372.731964 -345.760651 -224.276764	-2.658 0.158 -0.119
ttt_random_ammo	350.009888 -387.610413 -224.616531	-1.322 0.229 -1.904
ttt_random_ammo	356.644562 -309.574738 -223.787415	-0.307 -0.001 0.098
ttt_random_ammo	345.793152 -335.180267 -224.598633	-0.930 -0.889 2.892
ttt_random_ammo	-66.454414 -495.863251 -191.576645	1.509 0.035 1.825
ttt_random_ammo	-50.759460 -518.526794 -191.660019	0.047 0.000 -0.023
ttt_random_ammo	2.245492 -507.760071 -191.627243	0.109 0.000 0.069
ttt_random_ammo	-294.262665 -494.379089 -191.673965	-0.047 -0.000 -0.032
ttt_random_ammo	-271.916565 -517.236633 -191.636490	0.017 -0.119 0.122
ttt_random_ammo	-230.573303 -505.965332 -191.669647	0.046 0.000 -0.029
ttt_random_ammo	-544.132568 -497.866699 -191.551727	-1.515 -0.035 1.834
ttt_random_ammo	-512.211121 -523.415955 -191.552261	-1.649 -0.037 2.006
ttt_random_ammo	-474.855408 -510.913818 -191.676529	-0.047 -0.000 -0.033
ttt_random_ammo	-709.757629 95.140556 -511.486725	1.359 -0.520 -1.470
ttt_random_ammo	-681.392456 92.913353 -512.046509	1.299 -0.348 -2.113
ttt_random_ammo	-688.988525 136.321838 -513.196716	4.690 -5.536 -99.240
ttt_random_ammo	-661.480713 128.891525 -517.516541	13.892 11.799 -6.156
ttt_random_ammo	-667.462463 169.823120 -520.643250	76.046 -132.923 -158.239
ttt_random_ammo	-641.837830 161.755676 -525.311829	74.865 -151.070 -151.663
ttt_random_ammo	-541.838806 221.463654 -528.467651	4.992 -53.694 -89.528
ttt_random_ammo	362.297424 563.076111 -506.641815	-6.560 -0.098 -6.403
ttt_random_ammo	389.192444 591.275940 -505.512543	1.319 -0.737 -2.873
ttt_random_ammo	336.512054 625.947021 -517.753601	-6.829 24.425 -110.115
ttt_random_ammo	329.536865 557.551697 -510.938812	-12.120 -0.887 -6.096
ttt_random_ammo	293.563812 577.331604 -518.339172	-7.065 20.935 -105.067
ttt_random_ammo	281.995148 598.396240 -523.763916	-71.887 131.783 -128.530
ttt_random_ammo	262.197632 568.182190 -518.144592	-62.868 102.861 179.784
ttt_random_ammo	1854.790649 1394.338867 -526.810669	-1.986 -24.659 90.830
ttt_random_ammo	1908.187134 1317.028687 -527.169373	0.955 -23.084 89.516
ttt_random_ammo	1900.104370 1401.502686 -526.854309	-2.921 -4.437 89.432
ttt_random_ammo	1941.275513 1407.118408 -526.641663	-0.497 -40.767 91.043
ttt_random_ammo	1960.010010 1382.243652 -526.867432	-0.632 116.378 -91.471
ttt_random_ammo	1984.150391 1410.281982 -527.096741	-1.795 126.098 -89.850
ttt_random_ammo	2257.109131 1377.223633 -383.610321	-0.274 -0.001 0.276
ttt_random_ammo	2275.968018 1399.873047 -383.627441	-0.101 -0.000 0.058
ttt_random_ammo	2282.797363 1349.728149 -383.676544	-0.047 -0.000 -0.033
ttt_random_ammo	2644.463135 1396.563232 -383.679169	-0.047 -0.000 -0.034
ttt_random_ammo	2679.228516 1376.548462 -383.622192	0.152 0.001 0.124
ttt_random_ammo	2644.458252 1338.128052 -383.571167	1.305 -0.032 -1.571
ttt_random_ammo	2786.813232 -375.287109 -266.568207	-73.562 151.796 -163.475
ttt_random_ammo	2759.813477 -381.800537 -272.974091	-76.550 161.727 -167.090
ttt_random_ammo	2766.096191 -343.781311 -276.136871	-73.679 151.983 -178.159
ttt_random_ammo	2731.389893 -429.392395 -277.235565	-0.672 -0.028 -1.767
ttt_random_ammo	2714.199463 -384.218048 -278.761169	-0.752 0.438 -2.215
ttt_random_ammo	2877.566895 -21.378103 -228.407120	-89.380 104.175 -95.770
ttt_random_ammo	2853.241211 -12.975914 -247.539902	-0.436 0.417 -0.431
ttt_random_ammo	2883.901611 53.029377 -223.566437	1.348 0.033 1.635
ttt_random_ammo	2859.894043 16.984238 -239.616058	0.247 0.001 0.243
ttt_random_ammo	1732.995850 363.377930 -220.095474	0.083 -7.315 99.720
ttt_random_ammo	1702.311157 319.065735 -225.043884	0.291 -0.098 -0.014
ttt_random_ammo	1626.292603 366.895264 -222.299866	1.185 -0.768 -5.429
ttt_random_ammo	1633.471558 326.096985 -221.813171	4.260 0.090 0.025
ttt_random_ammo	1127.403076 67.333992 -225.698990	6.747 -0.534 0.706
ttt_random_ammo	1098.149536 98.424614 -225.944992	0.081 -0.002 -0.643
ttt_random_ammo	917.649048 280.772491 -218.834961	-0.554 -1.244 5.557
ttt_random_ammo	161.344482 53.823269 -222.178696	10.356 4.933 -3.169
ttt_random_ammo	157.220276 103.402786 -219.338837	2.990 6.831 -92.445
ttt_random_ammo	177.191559 117.190994 -222.527512	2.552 0.259 -0.497
ttt_random_ammo	158.082855 148.783890 -222.954086	0.000 -0.876 -7.052
ttt_random_ammo	156.190353 206.013245 -224.795914	4.195 -0.195 0.694
ttt_random_ammo	159.273590 248.467514 -223.359421	3.263 1.330 4.961
ttt_random_ammo	304.332458 597.812561 -191.584335	1.648 0.035 1.990
ttt_random_ammo	296.088287 641.269165 -191.636505	0.072 0.000 0.019
ttt_random_ammo	263.818298 658.231079 -191.677277	0.047 0.000 -0.033
ttt_random_ammo	259.582397 697.158020 -191.608765	0.545 0.004 0.608
ttt_playerspawn	2587.244141 331.650574 -293.576385	0.205 -0.129 -0.351
ttt_playerspawn	2648.154053 51.791306 -294.437286	-1.097 -0.305 1.271
ttt_playerspawn	2439.262939 -100.754959 -294.464478	1.613 -0.035 -0.414
ttt_playerspawn	1667.082886 115.675468 -222.624451	-0.176 0.395 -3.935
ttt_playerspawn	485.018311 264.201660 -227.642334	-4.937 -1.158 1.623
ttt_playerspawn	-1352.635132 -342.422577 -218.838211	-0.974 -0.023 0.878
ttt_playerspawn	-1796.444458 626.753906 -226.927170	4.470 -3.252 -2.995
ttt_playerspawn	-1953.572144 933.055115 -226.002914	-1.240 -0.065 1.356
ttt_playerspawn	-2753.406250 -467.392365 -224.084717	0.061 0.104 0.674
ttt_playerspawn	-711.733765 -1368.769287 -221.303864	-1.669 -0.034 0.117
ttt_playerspawn	-1.405304 -1259.333008 -223.467926	-0.066 -0.000 0.066
ttt_playerspawn	7.886532 -2054.184326 6.514330	0.097 0.064 0.247
ttt_playerspawn	-655.338989 -873.117920 -506.079407	-6.850 -0.757 -0.255
ttt_playerspawn	377.576233 844.016479 -191.448044	-0.047 -0.000 0.047
ttt_playerspawn	-1265.280884 709.703857 -191.472153	-0.070 -0.000 0.070
ttt_playerspawn	-2003.469238 92.702202 -207.448761	-0.048 -0.000 0.048
ttt_playerspawn	2345.856445 744.630920 -505.083252	-4.345 -0.624 -1.401
ttt_playerspawn	1918.466797 1217.845093 -535.981934	4.766 0.241 1.072
ttt_playerspawn	602.223206 732.801575 -532.562317	-10.317 -6.024 0.981
ttt_playerspawn	-252.655197 701.100220 -537.346619	2.386 0.617 1.416
